pig_age_days,weight_kg,breed,daily_feed_kg,feed_freq,feed_type,fcr,weight_gain_kg_day,growth_stage,body_condition,temperature_c,health_status
28,5.0,Landrace,0.3,4,Pre_Starter_2,1.48,0.202,pre_starter,2.8,26.0,healthy
55,5.0,Large_White,0.23,3,Starter_2,1.86,0.126,starter,3.0,31.2,healthy
101,54.6,Landrace,2.24,2,Grower_1,2.5,0.898,grower,2.5,27.7,healthy
70,12.2,Landrace,0.61,3,Starter_1,1.87,0.326,starter,2.5,29.5,healthy
124,89.9,Large_White,3.44,2,Grower_2,2.66,1.293,grower,3.2,24.8,healthy
152,132.3,Duroc,4.84,3,Finisher_1,3.43,1.411,finisher,3.2,29.5,healthy
22,5.0,Pietrain,0.28,3,Pre_Starter_1,1.5,0.186,pre_starter,2.7,28.4,healthy
154,98.4,Pietrain,3.55,3,Finisher_1,3.69,0.962,finisher,3.1,32.9,healthy
74,28.8,Duroc,1.59,3,Starter_2,2.3,0.695,starter,2.5,24.8,healthy
126,85.3,Landrace,2.81,2,Grower_1,2.82,0.996,grower,2.6,24.7,healthy
24,5.0,Large_White,0.35,4,Pre_Starter_1,1.34,0.259,pre_starter,2.3,25.5,healthy
74,20.1,Large_White,0.98,3,Starter_2,2.16,0.457,starter,2.6,22.9,healthy
166,120.9,Large_White,4.86,2,Finisher_1,3.58,1.357,finisher,2.8,25.9,healthy
64,11.7,LW_LR_Cross,0.63,2,Starter_2,1.8,0.35,starter,2.5,25.6,healthy
34,5.0,Large_White,0.31,3,Pre_Starter_2,1.51,0.203,pre_starter,2.5,27.9,healthy
115,78.5,Large_White,3.12,2,Grower_1,2.97,1.05,grower,3.3,28.1,healthy
68,15.9,LW_LR_Cross,0.99,3,Starter_2,1.83,0.541,starter,2.2,24.3,healthy
35,5.0,LW_LR_Cross,0.3,4,Pre_Starter_2,1.42,0.211,pre_starter,2.3,31.0,healthy
60,5.0,Pietrain,0.22,2,Starter_1,2.02,0.112,starter,2.5,29.5,healthy
102,61.7,Large_White,2.36,3,Grower_2,2.73,0.865,grower,2.4,30.3,healthy
131,95.2,Large_White,3.33,2,Finisher_1,3.04,1.098,finisher,2.0,31.0,healthy
73,16.1,Landrace,0.79,3,Starter_2,2.47,0.32,starter,2.4,25.6,healthy
44,5.0,Large_White,0.33,3,Pre_Starter_2,1.41,0.231,pre_starter,2.4,26.6,healthy
174,128.0,Large_White,4.77,2,Finisher_1,3.29,1.45,finisher,3.1,29.0,sick
144,90.3,Landrace,3.3,3,Finisher_1,3.39,0.974,finisher,2.6,31.3,healthy
61,7.9,LW_LR_Cross,0.4,2,Starter_1,1.98,0.2,starter,3.0,28.8,healthy
177,105.1,Landrace,3.81,2,Finisher_1,3.59,1.061,finisher,3.2,28.0,healthy
35,5.0,Duroc,0.34,4,Pre_Starter_2,1.34,0.251,pre_starter,2.2,26.4,healthy
65,15.8,Duroc,0.82,2,Starter_2,2.25,0.366,starter,2.4,24.8,healthy
85,33.4,Large_White,1.37,2,Grower_1,2.44,0.559,grower,2.4,30.9,healthy
109,79.5,Duroc,3.53,2,Grower_2,2.69,1.316,grower,2.5,27.1,healthy
91,48.3,Large_White,1.96,2,Grower_1,2.99,0.657,grower,3.0,28.2,healthy
29,5.0,Large_White,0.31,3,Pre_Starter_2,1.6,0.192,pre_starter,2.2,32.3,healthy
108,79.5,Duroc,3.69,3,Grower_2,2.1,1.756,grower,2.9,27.2,healthy
149,88.5,Large_White,3.16,2,Finisher_1,3.48,0.907,finisher,2.7,28.2,healthy
156,123.5,LW_LR_Cross,4.18,2,Finisher_1,3.51,1.19,finisher,3.0,26.9,healthy
83,35.4,Large_White,1.27,2,Grower_2,2.86,0.445,grower,3.0,24.8,healthy
159,137.1,Duroc,5.09,2,Finisher_1,3.32,1.534,finisher,3.2,28.9,healthy
101,48.2,Landrace,1.84,3,Grower_1,2.73,0.674,grower,2.8,23.2,healthy
156,96.0,Large_White,3.59,3,Finisher_2,3.65,0.984,finisher,3.0,31.7,healthy
53,5.0,Large_White,0.28,3,Starter_2,2.15,0.131,starter,2.7,22.9,healthy
143,110.3,Duroc,3.69,2,Finisher_2,3.07,1.205,finisher,2.6,27.4,healthy
25,5.0,Pietrain,0.26,4,Pre_Starter_2,1.57,0.168,pre_starter,2.3,26.8,healthy
61,5.0,Pietrain,0.24,3,Starter_1,2.07,0.115,starter,2.6,30.9,healthy
48,5.0,Landrace,0.27,3,Pre_Starter_1,1.63,0.169,pre_starter,2.3,26.3,healthy
155,93.9,Pietrain,3.06,3,Finisher_2,3.24,0.945,finisher,2.8,24.1,healthy
92,59.2,Duroc,2.38,3,Grower_2,2.91,0.82,grower,2.8,24.8,healthy
32,5.0,Duroc,0.29,3,Pre_Starter_2,1.22,0.237,pre_starter,2.9,22.8,healthy
53,5.0,Landrace,0.26,3,Starter_1,1.93,0.136,starter,2.8,30.3,healthy
68,20.3,Duroc,1.07,3,Starter_2,1.93,0.554,starter,3.1,32.7,healthy
171,103.4,Pietrain,3.98,2,Finisher_1,3.52,1.129,finisher,3.0,31.1,healthy
82,21.8,Landrace,0.88,3,Grower_1,2.98,0.294,grower,2.6,28.2,healthy
57,5.0,Pietrain,0.26,3,Starter_1,1.78,0.147,starter,2.3,28.9,healthy
119,105.9,Duroc,4.2,2,Grower_2,3.1,1.356,grower,3.1,27.2,healthy
124,84.5,Large_White,3.19,2,Grower_2,2.21,1.443,grower,3.2,26.7,healthy
55,5.0,Large_White,0.29,2,Starter_2,1.66,0.177,starter,2.4,29.3,healthy
121,75.6,Landrace,2.83,2,Grower_1,3.04,0.932,grower,2.9,24.8,healthy
151,103.8,Landrace,3.27,2,Finisher_2,3.53,0.927,finisher,3.3,29.4,healthy
21,5.0,Pietrain,0.26,4,Pre_Starter_2,1.76,0.146,pre_starter,2.3,28.0,healthy
25,5.0,Large_White,0.35,3,Pre_Starter_1,1.61,0.215,pre_starter,2.7,29.7,healthy
162,99.2,Pietrain,3.22,2,Finisher_2,3.5,0.919,finisher,3.1,29.4,healthy
123,83.9,LW_LR_Cross,3.53,2,Grower_2,2.68,1.318,grower,2.2,25.0,sick
47,5.0,Large_White,0.3,3,Pre_Starter_1,1.41,0.216,pre_starter,2.4,30.0,healthy
157,88.1,LW_LR_Cross,2.95,2,Finisher_1,3.61,0.817,finisher,2.5,31.9,healthy
35,5.0,LW_LR_Cross,0.3,4,Pre_Starter_2,1.41,0.211,pre_starter,2.4,30.0,healthy
110,88.6,Duroc,3.96,2,Grower_1,2.86,1.383,grower,2.7,25.8,healthy
62,5.0,Pietrain,0.21,2,Starter_1,1.86,0.115,starter,2.5,30.3,healthy
144,110.8,LW_LR_Cross,4.19,2,Finisher_2,3.56,1.175,finisher,3.2,29.2,healthy
83,37.8,Duroc,1.76,3,Grower_2,3.18,0.552,grower,3.0,23.4,healthy
116,75.5,Landrace,3.02,2,Grower_2,2.94,1.029,grower,2.9,27.5,healthy
72,8.6,Pietrain,0.45,3,Starter_2,1.91,0.238,starter,2.9,30.1,healthy
116,96.4,Duroc,3.63,3,Grower_2,2.89,1.258,grower,3.2,27.9,healthy
152,105.4,Duroc,3.26,3,Finisher_1,3.58,0.911,finisher,2.9,29.4,healthy
171,106.2,Large_White,3.79,3,Finisher_1,3.56,1.065,finisher,3.4,26.6,healthy
163,88.9,Pietrain,2.81,3,Finisher_1,3.62,0.777,finisher,2.9,28.8,healthy
49,5.0,Large_White,0.32,3,Pre_Starter_2,1.64,0.197,pre_starter,2.6,31.2,healthy
56,5.1,LW_LR_Cross,0.25,3,Starter_2,2.21,0.114,starter,2.2,29.3,healthy
33,5.0,Landrace,0.3,3,Pre_Starter_2,1.5,0.198,pre_starter,2.6,28.7,recovering
180,114.8,Large_White,4.05,2,Finisher_1,3.09,1.311,finisher,3.1,28.3,recovering
91,32.3,Landrace,1.28,3,Grower_2,2.82,0.452,grower,2.9,27.8,healthy
106,69.3,Large_White,2.66,2,Grower_1,2.76,0.963,grower,2.7,26.2,healthy
48,5.0,Duroc,0.28,3,Pre_Starter_1,1.58,0.176,pre_starter,2.3,27.2,healthy
86,38.7,LW_LR_Cross,1.55,2,Grower_2,2.5,0.622,grower,2.8,28.5,healthy
65,5.0,Pietrain,0.27,2,Starter_2,2.1,0.126,starter,2.7,23.1,healthy
82,30.8,Large_White,1.18,3,Grower_1,2.83,0.416,grower,2.5,31.2,healthy
154,93.7,Large_White,3.11,2,Finisher_2,3.21,0.968,finisher,2.6,26.7,healthy
48,5.0,Pietrain,0.29,4,Pre_Starter_2,1.19,0.243,pre_starter,2.4,25.1,recovering
48,5.0,LW_LR_Cross,0.28,3,Pre_Starter_1,1.63,0.169,pre_starter,3.0,33.0,sick
128,96.9,Landrace,4.09,2,Grower_2,2.55,1.6,grower,2.6,28.5,healthy
64,7.8,Landrace,0.35,2,Starter_2,1.7,0.204,starter,2.2,30.7,healthy
104,53.0,Landrace,2.03,3,Grower_1,2.66,0.764,grower,3.3,26.3,healthy
50,5.0,LW_LR_Cross,0.37,4,Pre_Starter_2,1.68,0.221,pre_starter,2.5,30.8,healthy
95,60.7,Duroc,2.33,2,Grower_1,2.85,0.819,grower,2.4,29.8,healthy
148,121.9,Large_White,4.81,2,Finisher_1,3.63,1.323,finisher,2.6,27.2,sick
112,74.8,Large_White,3.02,2,Grower_1,2.79,1.083,grower,3.0,23.7,healthy
149,120.2,LW_LR_Cross,4.39,2,Finisher_1,3.59,1.222,finisher,3.1,30.6,healthy
141,111.1,Large_White,3.62,2,Finisher_1,3.44,1.053,finisher,3.1,27.5,healthy
47,5.0,Landrace,0.31,4,Pre_Starter_2,1.43,0.219,pre_starter,2.3,30.9,healthy
141,98.1,Duroc,3.49,2,Finisher_1,3.31,1.055,finisher,2.6,27.1,healthy
136,97.5,Large_White,3.08,2,Finisher_1,3.41,0.903,finisher,3.1,27.8,healthy
23,5.0,Large_White,0.34,4,Pre_Starter_2,1.86,0.181,pre_starter,2.2,28.9,healthy
123,75.1,Pietrain,2.77,2,Grower_1,2.94,0.942,grower,2.8,32.9,healthy
175,117.0,LW_LR_Cross,3.51,2,Finisher_1,3.24,1.083,finisher,2.7,26.0,healthy
157,84.6,Pietrain,2.75,2,Finisher_1,3.1,0.886,finisher,3.3,26.9,healthy
82,38.1,LW_LR_Cross,1.65,3,Grower_1,2.78,0.593,grower,2.9,26.6,healthy
71,22.4,Duroc,1.24,3,Starter_1,1.66,0.745,starter,3.4,26.4,healthy
172,79.3,Pietrain,2.49,2,Finisher_2,3.77,0.66,finisher,3.0,27.9,healthy
79,21.7,Landrace,0.98,3,Starter_1,1.49,0.657,starter,2.7,30.8,healthy
138,113.8,Duroc,3.69,2,Finisher_1,3.41,1.084,finisher,3.2,27.1,healthy
180,109.7,LW_LR_Cross,3.91,3,Finisher_1,2.96,1.321,finisher,2.5,32.7,sick
116,79.0,Large_White,3.2,2,Grower_1,2.91,1.098,grower,2.3,31.3,healthy
133,91.0,Landrace,3.31,3,Finisher_1,3.27,1.012,finisher,3.1,27.7,healthy
82,25.4,Landrace,0.99,2,Grower_1,2.98,0.331,grower,2.4,26.2,healthy
72,16.1,Large_White,0.79,3,Starter_1,1.57,0.505,starter,2.6,29.9,healthy
32,5.0,Large_White,0.29,3,Pre_Starter_2,1.67,0.176,pre_starter,2.0,31.7,healthy
59,5.0,Pietrain,0.24,2,Starter_1,2.07,0.116,starter,2.4,30.6,healthy
150,105.1,LW_LR_Cross,3.71,2,Finisher_1,3.49,1.063,finisher,2.8,26.3,healthy
151,83.2,Landrace,3.08,3,Finisher_1,3.25,0.95,finisher,3.1,27.6,healthy
133,102.0,Large_White,3.67,3,Finisher_2,3.41,1.076,finisher,3.0,24.4,healthy
121,81.0,Large_White,3.27,2,Grower_2,2.98,1.096,grower,2.4,24.7,healthy
133,104.4,LW_LR_Cross,3.71,2,Finisher_2,3.25,1.143,finisher,2.8,30.4,healthy
101,59.6,Landrace,2.17,3,Grower_1,2.77,0.783,grower,3.1,29.5,sick
133,75.8,Landrace,2.6,2,Finisher_1,3.41,0.762,finisher,2.7,32.1,healthy
22,5.0,Landrace,0.28,3,Pre_Starter_2,1.53,0.182,pre_starter,2.8,25.1,healthy
150,96.2,Landrace,3.4,2,Finisher_1,3.08,1.102,finisher,2.7,31.4,healthy
74,17.2,Landrace,0.83,3,Starter_1,2.29,0.361,starter,2.7,31.3,healthy
107,94.6,LW_LR_Cross,4.34,3,Grower_1,3.03,1.431,grower,2.9,33.2,healthy
149,116.7,Duroc,3.83,2,Finisher_1,2.97,1.289,finisher,3.0,30.2,healthy
167,104.0,Duroc,2.81,2,Finisher_1,2.91,0.964,finisher,2.5,22.0,healthy
146,92.9,Landrace,3.26,2,Finisher_1,3.92,0.831,finisher,2.4,29.4,healthy
150,107.7,Duroc,3.74,2,Finisher_1,3.52,1.063,finisher,3.0,23.4,healthy
73,27.3,Duroc,1.45,2,Starter_1,1.64,0.885,starter,2.6,22.5,healthy
180,118.4,Large_White,3.71,2,Finisher_1,3.35,1.106,finisher,2.8,28.7,healthy
180,111.5,Duroc,4.77,2,Finisher_1,3.41,1.397,finisher,2.7,30.0,healthy
88,38.3,Large_White,1.49,2,Grower_1,2.96,0.503,grower,3.1,23.7,healthy
143,83.0,Pietrain,2.59,2,Finisher_1,3.78,0.685,finisher,3.1,22.5,healthy
165,102.1,Landrace,4.07,3,Finisher_1,3.54,1.151,finisher,3.1,26.9,healthy
58,6.4,LW_LR_Cross,0.35,3,Starter_1,1.97,0.177,starter,3.0,29.3,recovering
44,5.0,Large_White,0.33,4,Pre_Starter_1,1.43,0.234,pre_starter,2.2,28.0,healthy
89,29.2,Pietrain,1.09,3,Grower_2,3.15,0.347,grower,2.7,27.2,healthy
136,104.8,Duroc,3.87,2,Finisher_2,3.37,1.146,finisher,2.5,25.0,healthy
118,60.0,Pietrain,2.18,2,Grower_2,2.93,0.743,grower,2.6,27.1,healthy
159,91.0,Landrace,2.93,2,Finisher_1,3.18,0.922,finisher,2.8,30.5,healthy
164,101.9,Landrace,3.62,2,Finisher_1,3.12,1.159,finisher,2.7,28.5,healthy
117,62.8,Pietrain,2.32,3,Grower_1,2.85,0.815,grower,2.7,28.8,healthy
144,88.9,Large_White,3.71,2,Finisher_2,3.39,1.094,finisher,3.5,32.4,healthy
90,42.9,Large_White,1.83,3,Grower_2,2.46,0.743,grower,2.8,33.0,healthy
113,96.7,Duroc,4.64,3,Grower_2,2.72,1.705,grower,3.2,32.7,recovering
23,5.0,Landrace,0.24,4,Pre_Starter_1,1.87,0.128,pre_starter,2.6,34.7,healthy
168,115.8,Large_White,4.71,3,Finisher_1,3.49,1.35,finisher,2.5,25.9,healthy
167,117.7,Large_White,3.28,2,Finisher_1,3.41,0.961,finisher,2.8,25.0,healthy
110,69.7,Large_White,2.52,2,Grower_2,2.73,0.926,grower,2.6,29.4,healthy
167,92.3,Pietrain,2.61,2,Finisher_1,3.86,0.676,finisher,2.9,27.3,healthy
168,132.0,Duroc,4.95,2,Finisher_1,3.46,1.432,finisher,3.2,28.1,healthy
116,64.4,Pietrain,2.44,2,Grower_1,2.86,0.854,grower,3.0,22.9,healthy
72,19.4,LW_LR_Cross,1.05,3,Starter_2,2.14,0.49,starter,2.7,28.8,healthy
148,82.1,Landrace,2.8,2,Finisher_1,3.89,0.718,finisher,3.2,27.0,healthy
59,5.9,Large_White,0.32,3,Starter_2,1.85,0.173,starter,2.3,27.0,healthy
102,64.9,Large_White,2.41,2,Grower_1,2.56,0.943,grower,2.9,27.6,sick
124,83.9,Large_White,3.67,2,Grower_1,2.62,1.399,grower,3.0,24.0,healthy
149,112.0,LW_LR_Cross,3.99,2,Finisher_1,3.7,1.079,finisher,3.2,26.5,healthy
31,5.0,Landrace,0.35,3,Pre_Starter_2,1.62,0.218,pre_starter,2.3,31.7,healthy
171,112.3,Large_White,4.22,2,Finisher_2,3.56,1.187,finisher,3.5,28.8,healthy
179,110.1,Landrace,3.68,3,Finisher_1,3.79,0.969,finisher,2.7,31.6,healthy
62,12.0,Duroc,0.63,2,Starter_2,2.15,0.292,starter,2.4,25.0,recovering
119,86.8,Duroc,3.37,2,Grower_1,2.64,1.273,grower,3.1,28.6,healthy
27,5.0,Large_White,0.31,4,Pre_Starter_1,1.28,0.242,pre_starter,2.0,25.3,healthy
164,121.0,LW_LR_Cross,4.21,2,Finisher_1,3.37,1.249,finisher,2.7,33.3,healthy
110,62.7,Landrace,2.59,3,Grower_2,2.93,0.883,grower,2.8,25.2,healthy
132,96.3,Large_White,2.98,2,Finisher_1,3.65,0.818,finisher,2.4,30.5,healthy
80,32.2,LW_LR_Cross,1.6,2,Starter_2,1.64,0.976,starter,2.4,27.0,healthy
133,103.6,Large_White,3.27,2,Finisher_2,2.79,1.17,finisher,3.0,30.9,healthy
22,5.0,LW_LR_Cross,0.28,3,Pre_Starter_2,1.6,0.173,pre_starter,2.3,24.7,healthy
149,113.1,LW_LR_Cross,4.25,2,Finisher_1,3.71,1.143,finisher,3.5,26.7,healthy
68,20.4,Duroc,1.17,2,Starter_2,2.07,0.562,starter,2.8,29.6,healthy
160,107.2,Pietrain,2.85,2,Finisher_2,3.77,0.756,finisher,3.1,27.8,healthy
57,5.0,Landrace,0.28,3,Starter_1,2.04,0.138,starter,2.6,28.4,healthy
180,112.2,LW_LR_Cross,4.49,2,Finisher_1,3.1,1.447,finisher,3.2,27.0,healthy
29,5.0,Landrace,0.26,3,Pre_Starter_2,1.45,0.18,pre_starter,2.5,27.5,sick
119,86.6,Duroc,3.86,2,Grower_2,2.78,1.39,grower,2.6,27.4,healthy
167,132.9,LW_LR_Cross,4.56,2,Finisher_2,3.33,1.369,finisher,3.2,26.1,sick
68,14.8,LW_LR_Cross,0.75,3,Starter_1,1.88,0.399,starter,2.3,33.1,sick
151,90.0,Pietrain,3.15,2,Finisher_1,3.47,0.906,finisher,3.0,32.1,recovering
168,105.3,Landrace,3.76,2,Finisher_1,3.25,1.156,finisher,3.0,31.6,healthy
172,108.2,LW_LR_Cross,3.67,2,Finisher_1,2.86,1.283,finisher,2.8,29.8,healthy
74,27.6,Duroc,1.38,3,Starter_1,2.02,0.683,starter,3.2,30.5,healthy
140,97.8,LW_LR_Cross,3.34,2,Finisher_1,3.87,0.861,finisher,3.3,26.3,healthy
172,108.6,Duroc,4.38,2,Finisher_1,2.84,1.544,finisher,2.9,25.3,healthy
136,88.5,Landrace,2.55,2,Finisher_1,3.55,0.719,finisher,3.0,31.2,healthy
95,47.7,Landrace,1.85,3,Grower_2,2.55,0.725,grower,2.8,29.2,healthy
133,104.2,Duroc,4.35,2,Finisher_1,3.7,1.173,finisher,2.8,31.3,healthy
124,74.4,Pietrain,2.98,3,Grower_1,2.9,1.028,grower,3.0,29.2,healthy
104,51.0,Landrace,2.16,3,Grower_1,3.06,0.704,grower,2.7,26.2,healthy
132,94.9,Duroc,3.44,3,Finisher_1,3.25,1.06,finisher,2.5,25.2,healthy
119,75.8,Landrace,2.71,2,Grower_1,2.82,0.963,grower,2.7,29.5,healthy
173,113.9,Pietrain,3.8,2,Finisher_2,4.25,0.896,finisher,2.8,30.2,healthy
113,67.3,Landrace,2.5,2,Grower_1,2.85,0.878,grower,2.2,29.5,healthy
166,119.3,Large_White,4.97,3,Finisher_1,3.71,1.34,finisher,3.4,25.6,healthy
148,117.8,Large_White,4.07,2,Finisher_1,3.92,1.037,finisher,2.8,28.7,healthy
130,93.5,Large_White,3.92,2,Grower_1,2.58,1.519,grower,2.8,28.8,healthy
102,51.4,Landrace,2.27,2,Grower_1,2.3,0.989,grower,3.4,26.5,healthy
74,21.6,Large_White,0.99,2,Starter_2,1.66,0.594,starter,2.3,31.5,healthy
88,43.2,Large_White,1.43,3,Grower_2,2.51,0.571,grower,2.7,27.8,healthy
53,5.0,LW_LR_Cross,0.26,2,Starter_2,1.92,0.138,starter,2.0,31.9,healthy
162,116.5,LW_LR_Cross,4.4,2,Finisher_1,3.65,1.206,finisher,2.8,29.1,healthy
41,5.0,Landrace,0.28,3,Pre_Starter_2,1.64,0.173,pre_starter,2.4,27.8,healthy
68,14.6,LW_LR_Cross,0.68,3,Starter_1,1.78,0.38,starter,2.9,28.5,healthy
168,111.8,Large_White,4.02,3,Finisher_2,4.14,0.969,finisher,2.7,22.9,healthy
148,103.5,Duroc,3.79,3,Finisher_1,3.89,0.975,finisher,3.2,28.1,healthy
156,102.7,Duroc,3.88,2,Finisher_2,3.35,1.159,finisher,3.7,22.3,healthy
155,100.7,Landrace,3.12,2,Finisher_1,4.21,0.74,finisher,3.4,26.8,healthy
165,111.6,Landrace,3.94,2,Finisher_2,3.68,1.07,finisher,2.1,29.2,healthy
148,94.0,Landrace,3.45,2,Finisher_1,3.48,0.991,finisher,3.0,27.2,healthy
53,5.0,Landrace,0.22,3,Starter_1,1.81,0.119,starter,3.0,31.9,healthy
135,100.7,Duroc,4.16,3,Finisher_1,3.17,1.315,finisher,2.7,28.2,healthy
139,104.6,Large_White,3.74,3,Finisher_1,3.78,0.99,finisher,2.9,29.8,healthy
42,5.0,Large_White,0.32,4,Pre_Starter_1,1.51,0.212,pre_starter,2.4,27.9,healthy
178,121.7,Large_White,3.79,2,Finisher_1,3.63,1.045,finisher,3.3,29.1,healthy
58,6.2,Large_White,0.33,3,Starter_1,1.77,0.184,starter,2.4,27.4,healthy
129,76.1,Landrace,2.61,2,Grower_1,2.94,0.89,grower,3.4,29.8,healthy
71,17.1,Large_White,0.79,2,Starter_1,2.01,0.391,starter,2.9,31.1,healthy
28,5.0,LW_LR_Cross,0.31,3,Pre_Starter_1,1.34,0.234,pre_starter,2.1,28.5,healthy
47,5.0,Large_White,0.29,3,Pre_Starter_1,1.29,0.228,pre_starter,2.1,31.6,healthy
47,5.0,Large_White,0.3,4,Pre_Starter_1,1.51,0.2,pre_starter,2.6,27.5,healthy
41,5.0,Duroc,0.37,3,Pre_Starter_1,1.6,0.228,pre_starter,2.5,31.4,healthy
50,5.0,Large_White,0.3,3,Pre_Starter_2,1.66,0.181,pre_starter,2.5,30.1,healthy
117,85.8,Duroc,3.79,3,Grower_2,2.86,1.327,grower,2.7,27.6,healthy
48,5.0,Duroc,0.31,4,Pre_Starter_2,1.38,0.227,pre_starter,2.2,29.9,healthy
131,104.7,Large_White,3.63,3,Finisher_1,3.51,1.036,finisher,2.9,29.9,healthy
81,25.5,Large_White,0.94,3,Grower_2,2.89,0.327,grower,2.7,30.4,healthy
68,10.6,Landrace,0.53,2,Starter_2,1.85,0.288,starter,2.9,22.9,healthy
167,107.4,Large_White,4.58,3,Finisher_1,3.36,1.362,finisher,3.3,25.4,sick
24,5.0,Large_White,0.3,3,Pre_Starter_2,1.5,0.201,pre_starter,2.5,27.4,healthy
55,5.0,Large_White,0.24,2,Starter_2,2.04,0.12,starter,2.6,28.8,sick
